"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population in largest city","EN.URB.LCTY","285352","300359","316177","332829","350382","368809","388232","408087","428363","449585","471891","495303","528508","573161","621656","674254","731385","793178","860289","932388","977824","1025339","1075233","1127555","1182500","1239961","1300299","1358525","1419444","1482916","1549320","1618697","1691283","1766910","1846031","1928694","2015181","2105292","2199565","2298059","2401109","2508477","2620804","2738161","2834061","2905178","2978181","3053018","3129844","3208383","3289005","3371653","3456496","3543232","3632269","3723543","3817241","3913297","4011770","4114030","4221532","4335770","4457882","4588666",
"Africa Western and Central","AFW","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Population in largest city","EN.URB.LCTY","219427","233134","251373","271039","292274","315108","339760","366341","395043","425905","459225","488590","514050","540761","568901","598504","629692","662412","696882","733145","771349","811430","853654","898124","964072","1034661","1110527","1191955","1279479","1373162","1473848","1581917","1698075","1822407","1940528","2066306","2200426","2342847","2494701","2656398","2828820","3011913","3207133","3415007","3636670","3872050","4123021","4390259","4675223","4977823","5300466","5644022","6010365","6399381","6789357","7023206","7265449","7515345","7774200","8044735","8329798","8631876","8952496","9292336",
"Albania","ALB","Population in largest city","EN.URB.LCTY","134761","137714","139561","141434","143334","145255","147203","149178","151183","153497","156734","160040","163420","166862","170381","173975","177649","181391","185217","189123","193644","198261","202994","207840","212809","217882","223084","228410","233870","239852","247270","254918","262814","270931","279311","287950","296869","306038","315503","325262","335336","344700","351285","357995","364843","371803","378905","386143","393529","401036","408697","416504","424471","432590","440865","449298","457892","466651","475577","484624","493712","502734","511559","520059",
"Andorra","AND","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Population in largest city","EN.URB.LCTY","33559","35339","37216","39192","41277","43466","45774","48205","52483","61840","72880","85892","101250","119300","140599","165701","186982","201914","218062","235501","254361","272033","288602","306179","324854","344611","366485","390561","416255","443562","472701","503755","536895","572116","609701","649755","693758","741762","793160","848120","906971","969728","1036922","1108773","1185712","1267755","1365099","1477773","1599922","1731789","1874729","1969843","2069924","2174793","2285131","2401067","2522885","2650883","2785376","2833079","2878344","2921376","2964382","3007583",
"Argentina","ARG","Population in largest city","EN.URB.LCTY","6761837","6919245","7071464","7227032","7386244","7548511","7714574","7884290","8057981","8235005","8416170","8566128","8707088","8849971","8995400","9143219","9293676","9446184","9601411","9759188","9919781","10049398","10165869","10283689","10403040","10523442","10645407","10768785","10893766","11019848","11147566","11276696","11407033","11538512","11671691","11806407","11942867","12080522","12219957","12361001","12503871","12647992","12808282","12979730","13153713","13329540","13507965","13688779","13872267","14057699","14245871","14364449","14449088","14533991","14619510","14705533","14792181","14879100","14966530","15057273","15153729","15257673","15369919","15490415",
"Armenia","ARM","Population in largest city","EN.URB.LCTY","537759","558120","579282","601247","624076","647706","672265","697755","724248","751671","778158","803112","828904","855448","882882","911195","940457","970575","1001700","1026030","1041587","1057335","1073344","1089596","1106116","1122840","1139841","1157099","1174643","1181040","1174524","1168044","1161591","1155191","1148818","1142480","1136168","1129908","1123674","1117475","1111301","1105179","1100296","1095897","1091510","1087153","1082807","1078479","1074162","1069873","1065597","1061337","1062281","1065265","1068261","1071265","1074282","1077299","1080324","1083323","1086275","1089181","1092028","1094813",
"American Samoa","ASM","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Population in largest city","EN.URB.LCTY","2134673","2183523","2233459","2284537","2336856","2390224","2445016","2549933","2659506","2773466","2892477","3016037","3041223","3066549","3092121","3117906","3143945","3170608","3197534","3224688","3252111","3279743","3317267","3355221","3393661","3432435","3471704","3511087","3550973","3591200","3631940","3673110","3709165","3745472","3782186","3819260","3856593","3837252","3817981","3798807","3779704","3760877","3789046","3817426","3846058","3874825","3903942","3967807","4032807","4098688","4165739","4233904","4309560","4386354","4464625","4544293","4625496","4708150","4792281","4870388","4967733","5061439","5150766","5235407",
"Austria","AUT","Population in largest city","EN.URB.LCTY","1626724","1627354","1626595","1625837","1625077","1624321","1623563","1622806","1622048","1621293","1620537","1618638","1609553","1600544","1591573","1582652","1573769","1564960","1556188","1547466","1538780","1531462","1532310","1533157","1534007","1534855","1535704","1536554","1537405","1538255","1539106","1539980","1541006","1542030","1543055","1544082","1545111","1546137","1547166","1548195","1549227","1552880","1574455","1596329","1618539","1640995","1656806","1670919","1690624","1710506","1730649","1751030","1771680","1792515","1813624","1834982","1856622","1878456","1900547","1915338","1929944","1944910","1960023","1975271",
"Azerbaijan","AZE","Population in largest city","EN.URB.LCTY","1005297","1029427","1054171","1079510","1105494","1132029","1159239","1187103","1215677","1244857","1274298","1303852","1334134","1365033","1396692","1429085","1462275","1496142","1530841","1557576","1574287","1591131","1608178","1625408","1642846","1660424","1678213","1696194","1714392","1727104","1733452","1739823","1746226","1752636","1759077","1765543","1772041","1778545","1785082","1793936","1805977","1818065","1830251","1842519","1854885","1867301","1884268","1905967","1945022","2002541","2061843","2104671","2129670","2154896","2180456","2206320","2232526","2258971","2285729","2313138","2341443","2370776","2401108","2432304",
"Burundi","BDI","Population in largest city","EN.URB.LCTY","45564","49768","54367","59390","64886","70873","75187","79555","84183","89066","94240","100027","106179","112690","119610","126956","134763","143027","151811","161134","167212","172952","178897","185047","191417","197988","204794","211834","219126","226648","234439","242570","251006","259710","268729","278062","287732","297710","308048","318746","329831","341269","353120","365383","388036","412026","437535","464623","493430","523935","556326","590719","627239","666016","707191","750911","797334","846627","898968","954424","1012996","1074642","1139265","1206767",
"Belgium","BEL","Population in largest city","EN.URB.LCTY","1484676","1491853","1499611","1507950","1516347","1524767","1533246","1541772","1550357","1558966","1567635","1576190","1584639","1593109","1601636","1610209","1618840","1627493","1636205","1644963","1653780","1660926","1664730","1668543","1672369","1676195","1680034","1683882","1687744","1691604","1695478","1699362","1703259","1707155","1711065","1714984","1728342","1741767","1755315","1768968","1782747","1796594","1810568","1824651","1838864","1853147","1867561","1882088","1896747","1911480","1926348","1941332","1956453","1971650","1986986","2002441","2018038","2033713","2049510","2065284","2080788","2095688","2109631","2121992",
"Benin","BEN","Population in largest city","EN.URB.LCTY","73080","77928","85036","92962","101640","111100","120007","129628","140036","151247","163372","176470","190638","205900","222408","240239","259527","280304","302776","323820","337106","350898","365275","380240","395841","412036","428918","446491","464809","483826","503649","524284","541575","553242","565177","577370","589843","602550","615549","628829","642413","656253","665557","666784","668016","669246","670480","671716","672957","674196","675440","676685","677935","679183","708578","757922","810702","867158","927545","991000","1056440","1122713","1188736","1252890",
"Burkina Faso","BFA","Population in largest city","EN.URB.LCTY","59126","63090","67325","71845","76676","81816","87309","93170","99434","107102","115374","124284","133897","144223","155361","167360","182337","200214","219871","241459","265200","291201","319792","351190","385721","423537","452238","472181","493032","514742","537441","561141","585920","611721","638696","666861","696309","739213","795344","855737","920808","990628","1065850","1146783","1233987","1327553","1428359","1514246","1586762","1662536","1742041","1825349","1912763","2004106","2099945","2200368","2305593","2415851","2531381","2652720","2780331","2914619","3055788","3203923",
"Bangladesh","BGD","Population in largest city","EN.URB.LCTY","507921","543565","602546","667926","740506","820740","909796","1008515","1118104","1239251","1373718","1522776","1688248","1871169","2056298","2221055","2399267","2591228","2798845","3023097","3265663","3519136","3775135","4049756","4344775","4660384","4999402","5363083","5753775","6171735","6620697","7041281","7344419","7659719","7989018","8332474","8691200","9064318","9454003","9860440","10284947","10695828","11083051","11484292","11900642","12330879","12777296","13239874","13719871","14215877","14730537","15263828","15816426","16389029","16982363","17597177","18234249","18894385","19578421","20283552","21005860","21741090","22478117","23209616",
"Bulgaria","BGR","Population in largest city","EN.URB.LCTY","708061","726557","745562","765065","785106","805615","823420","839217","855339","871726","888449","905494","922889","940570","958614","977004","995774","1014850","1034320","1054162","1074414","1094997","1116004","1137414","1159265","1181474","1192558","1192104","1191649","1191196","1190742","1190289","1189835","1184909","1176648","1168445","1160287","1152209","1144176","1136199","1128266","1120411","1132680","1145963","1157368","1168854","1177565","1185484","1195578","1205730","1215983","1226323","1236765","1244740","1250228","1255741","1261286","1266840","1272418","1276937","1280968","1284311","1286789","1288114",
"Bahrain","BHR","Population in largest city","EN.URB.LCTY","64888","67726","70691","73787","77022","79697","81304","82943","84617","86321","88061","89951","92251","94602","97017","99494","102037","104638","107310","110049","112862","115318","116446","117585","118736","119896","121069","122253","123450","124656","125875","127106","128546","130120","131715","133330","134966","136618","138293","139988","141707","145632","157330","169967","183640","198370","214304","231518","250141","270205","292172","317239","344495","374008","406095","440935","478819","519958","564631","600433","634508","663893","688558","708882",
"Bahamas, The","BHS","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
