Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
1832,1,-0.571,1.252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1832,2,0.029,3.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1832,3,-0.787,1.509,-0.9,0.886,NaN,NaN,NaN,NaN,NaN,NaN
1832,4,-1.202,2.36,-0.893,0.74,NaN,NaN,NaN,NaN,NaN,NaN
1832,5,-0.938,2.012,-0.873,0.729,NaN,NaN,NaN,NaN,NaN,NaN
1832,6,-0.22,2.442,-0.897,0.863,NaN,NaN,NaN,NaN,NaN,NaN
1832,7,-0.513,2.602,-0.914,0.894,NaN,NaN,NaN,NaN,NaN,NaN
1832,8,-1.088,2.64,-0.83,0.874,NaN,NaN,NaN,NaN,NaN,NaN
1832,9,-1.345,1.958,-0.769,1.043,NaN,NaN,NaN,NaN,NaN,NaN
1832,10,-1.536,1.793,-0.616,1.347,NaN,NaN,NaN,NaN,NaN,NaN
1832,11,-1.116,1.455,-0.59,1.283,NaN,NaN,NaN,NaN,NaN,NaN
1832,12,-1.48,2.819,-0.582,1.24,NaN,NaN,NaN,NaN,NaN,NaN
1833,1,-0.768,1.284,-0.577,1.186,NaN,NaN,NaN,NaN,NaN,NaN
1833,2,1.039,3.132,-0.474,1.246,NaN,NaN,NaN,NaN,NaN,NaN
1833,3,-0.063,3.39,-0.345,1.352,-0.595,0.579,NaN,NaN,NaN,NaN
1833,4,0.641,2.306,-0.236,1.656,-0.6,0.576,NaN,NaN,NaN,NaN
1833,5,-0.635,0.965,-0.016,1.753,-0.647,0.58,NaN,NaN,NaN,NaN
1833,6,-0.12,1.598,0.166,1.781,-0.694,0.574,NaN,NaN,NaN,NaN
1833,7,-0.458,1.337,0.161,2.043,-0.701,0.56,NaN,NaN,NaN,NaN
1833,8,0.154,2.551,0.052,1.861,-0.688,0.561,NaN,NaN,NaN,NaN
1833,9,0.201,2.666,0.011,1.436,-0.675,0.544,NaN,NaN,NaN,NaN
1833,10,-0.233,2.57,-0.069,1.27,-0.698,0.529,NaN,NaN,NaN,NaN
1833,11,1.533,2.705,0.058,1.427,-0.731,0.506,NaN,NaN,NaN,NaN
1833,12,0.696,2.943,-0.06,1.244,-0.743,0.503,NaN,NaN,NaN,NaN
1834,1,-0.826,3.733,-0.004,1.315,-0.723,0.525,NaN,NaN,NaN,NaN
1834,2,-0.267,1.231,-0.119,1.12,-0.695,0.552,NaN,NaN,NaN,NaN
1834,3,-0.549,2.295,-0.172,0.98,-0.701,0.531,NaN,NaN,NaN,NaN
1834,4,-0.329,1.392,-0.287,0.746,-0.703,0.507,NaN,NaN,NaN,NaN
1834,5,0.896,1.677,-0.537,0.408,-0.712,0.52,NaN,NaN,NaN,NaN
1834,6,-1.54,1.744,-0.654,0.455,-0.71,0.493,-0.819,0.398,NaN,NaN
1834,7,0.22,1.135,-0.651,0.828,-0.716,0.49,-0.829,0.397,NaN,NaN
1834,8,-1.227,1.066,-0.618,0.928,-0.75,0.46,-0.832,0.401,NaN,NaN
1834,9,-0.434,1.137,-0.748,0.975,-0.773,0.459,-0.836,0.403,NaN,NaN
1834,10,-1.614,1.503,-0.824,1.132,-0.785,0.488,-0.849,0.403,NaN,NaN
1834,11,-1.469,4.202,-0.985,1.275,-0.787,0.492,-0.859,0.407,NaN,NaN
1834,12,-0.708,1.201,-0.955,1.164,-0.826,0.46,-0.862,0.412,NaN,NaN
1835,1,-0.796,3.012,-0.964,1.047,-0.841,0.444,-0.874,0.416,NaN,NaN
1835,2,0.129,1.514,-0.902,0.881,-0.845,0.435,-0.884,0.413,NaN,NaN
1835,3,-2.099,2.944,-1.081,0.947,-0.85,0.433,-0.894,0.416,NaN,NaN
1835,4,-1.246,2.395,-1.077,0.84,-0.843,0.454,-0.903,0.414,NaN,NaN
1835,5,-1.034,1.352,-1.062,0.603,-0.851,0.464,-0.892,0.41,NaN,NaN
1835,6,-1.185,1.605,-1.155,0.544,-0.858,0.436,-0.89,0.406,NaN,NaN
1835,7,0.113,2.728,-1.124,0.497,-0.873,0.453,-0.898,0.405,NaN,NaN
1835,8,-0.478,2.571,-1.113,0.569,-0.905,0.454,-0.907,0.409,NaN,NaN
1835,9,-2.581,1.15,-0.942,0.654,-0.938,0.477,-0.898,0.408,NaN,NaN
1835,10,-1.566,1.359,-0.98,0.71,-0.964,0.492,-0.887,0.406,NaN,NaN
1835,11,-1.289,2.59,-1.069,0.664,-0.984,0.499,-0.907,0.403,NaN,NaN
1835,12,-1.826,2.62,-1.073,0.649,-0.991,0.5,-0.916,0.404,NaN,NaN
1836,1,-0.428,1.61,-1.047,0.638,-0.987,0.488,-0.922,0.407,NaN,NaN
1836,2,0.264,2.033,-1.02,0.703,-1.022,0.522,-0.93,0.406,NaN,NaN
1836,3,-0.045,1.007,-1.01,0.682,-1.042,0.539,-0.922,0.409,NaN,NaN
1836,4,-1.702,2.562,-1.02,0.68,-1.049,0.555,-0.917,0.415,NaN,NaN
1836,5,-2.106,2.636,-1.074,0.644,-1.094,0.576,-0.921,0.41,NaN,NaN
1836,6,-1.228,1.394,-1.011,0.7,-1.108,0.593,-0.925,0.408,NaN,NaN
1836,7,0.415,2.328,-1.053,0.846,-1.113,0.659,-0.924,0.408,NaN,NaN
1836,8,-0.143,2.487,-1.242,1.142,-1.123,0.71,-0.918,0.403,NaN,NaN
1836,9,-2.466,1.747,-1.416,1.13,-1.143,0.68,-0.913,0.402,NaN,NaN
1836,10,-1.684,3.06,-1.434,1.017,-1.149,0.708,-0.911,0.402,NaN,NaN
1836,11,-1.935,2.077,-1.351,0.921,-1.175,0.726,-0.911,0.403,NaN,NaN
1836,12,-1.072,1.853,-1.459,1.002,-1.165,0.721,-0.921,0.405,NaN,NaN
1837,1,-0.931,1.787,-1.613,1.223,-1.19,0.766,-0.921,0.4,NaN,NaN
1837,2,-2.005,3.868,-1.713,1.391,-1.19,0.801,-0.924,0.392,NaN,NaN
1837,3,-2.136,1.622,-1.642,1.335,-1.219,0.827,-0.913,0.387,NaN,NaN
1837,4,-1.914,1.28,-1.596,1.183,-1.23,0.838,-0.899,0.389,NaN,NaN
1837,5,-1.113,2.266,-1.565,1.279,-1.24,0.802,-0.894,0.381,NaN,NaN
